Target;Input01;Input02;Input03;Input04;Input05;Input06;Input07;Input08
851,42;11,26;1059,74;616,13;53,67;58,68;11,74;49,34;2037,04
855,42;10,96;1059,47;619,62;52,69;58,84;11,77;49,54;2007,18
850,69;11,04;1059,87;622,25;52,50;58,94;11,79;49,78;2004,85
857,30;11,23;1059,60;618,88;52,54;58,98;11,80;50,04;2048,60
854,68;11,30;1060,53;613,50;54,83;58,92;11,78;50,33;2075,66
855,42;11,32;1060,27;629,63;54,39;58,76;11,75;50,63;2091,05
857,05;11,30;1059,47;623,25;54,22;58,54;11,71;50,95;2105,88
856,64;11,32;1060,00;628,25;53,44;58,30;11,66;51,25;2028,32
856,48;11,35;1060,13;645,12;54,32;58,03;11,61;51,55;2093,45
855,99;11,34;1060,13;615,12;53,09;57,73;11,55;51,86;2037,08
855,91;11,31;1060,00;624,12;51,81;57,40;11,48;52,17;2053,49
855,74;11,29;1060,13;619,25;52,79;57,05;11,41;52,46;2091,17
855,34;11,28;1059,74;613,38;51,03;56,66;11,33;52,73;2075,50
855,50;11,27;1059,87;617,88;50,98;56,22;11,24;52,97;2043,94
854,19;11,26;1059,87;618,25;50,51;55,79;11,16;53,14;2018,93
853,05;11,26;1060,13;618,75;50,74;55,37;11,07;53,04;2040,95
856,72;11,26;1060,27;619,50;49,03;55,06;11,01;52,70;1957,43
853,95;11,26;1060,27;607,13;51,67;54,83;10,97;52,22;2036,21
855,09;11,26;1059,47;622,13;50,88;54,65;10,93;51,63;2018,06
857,54;11,26;1059,87;618,00;50,00;54,52;10,90;51,02;2010,14
861,37;11,13;1060,40;622,13;51,07;54,48;10,90;50,42;2022,76
857,13;10,92;1060,53;619,00;50,59;54,52;10,90;49,92;2008,56
860,31;11,13;1059,74;612,37;50,27;54,63;10,93;49,53;2019,52
856,56;11,22;1059,87;618,62;50,69;54,77;10,95;49,25;2029,35
853,62;11,33;1060,13;607,00;53,18;54,98;11,00;49,03;2111,56
858,44;11,25;1059,74;625,87;52,41;55,17;11,03;48,90;2092,70
855,09;11,19;1059,87;615,12;51,99;55,39;11,08;48,80;2093,22
859,17;11,29;1060,66;628,00;53,95;55,58;11,12;48,74;2050,97
855,66;11,20;1060,40;625,00;52,52;55,79;11,16;48,71;2062,68
854,85;11,23;1059,74;619,25;51,77;56,03;11,21;48,70;2026,27
854,93;11,24;1059,74;619,12;51,41;56,32;11,26;48,71;2030,69
854,28;11,25;1059,87;617,75;54,10;56,58;11,32;48,74;2139,06
852,73;11,25;1060,13;626,25;54,93;56,85;11,37;48,78;2113,69
855,34;11,25;1060,00;622,38;53,65;57,06;11,41;48,81;2109,55
854,93;11,26;1060,13;623,25;51,36;57,32;11,46;48,89;2013,88
863,17;11,26;1060,40;625,87;53,80;57,57;11,51;48,99;2112,86
860,39;11,26;1060,00;615,75;54,74;57,82;11,56;49,14;2110,10
855,58;11,26;1059,60;613,50;53,14;58,03;11,61;49,33;2075,15
853,79;11,26;1060,13;620,87;53,06;58,25;11,65;49,55;2080,36
861,21;11,26;1060,00;626,75;50,61;58,48;11,70;49,79;1988,91
860,80;11,23;1059,74;622,62;51,72;58,72;11,74;50,04;2057,87
855,83;11,07;1060,13;618,75;52,09;58,89;11,78;50,32;2048,68
851,01;11,26;1059,87;623,50;53,99;58,93;11,79;50,62;2087,85
858,52;11,21;1060,13;623,75;53,77;58,86;11,77;50,93;2071,84
870,10;11,35;1060,27;611,75;52,96;58,68;11,74;51,24;2120,79
861,78;11,36;1060,13;612,25;51,24;58,48;11,70;51,55;2037,87
864,48;11,27;1059,74;620,50;52,40;58,27;11,65;51,83;2082,05
868,39;11,26;1060,13;619,88;51,36;58,06;11,61;52,11;2024,73
854,03;11,25;1059,60;626,13;51,37;57,83;11,57;52,39;1985,05
861,95;11,33;1060,00;617,63;51,54;57,56;11,51;52,68;2002,25
855,17;11,30;1059,87;621,00;52,81;57,25;11,45;52,93;2006,39
850,52;11,28;1060,53;623,75;53,38;56,90;11,38;53,17;2046,78
845,71;11,27;1059,34;617,25;54,60;56,50;11,30;53,28;2055,35
852,56;11,27;1059,74;622,38;54,07;56,08;11,22;53,11;2006,58
838,12;11,26;1060,66;624,00;53,48;55,73;11,15;52,72;1991,75
843,34;11,26;1060,00;621,75;52,63;55,46;11,09;52,20;1983,27
835,35;11,26;1060,80;619,88;54,60;55,27;11,05;51,60;2033,49
846,28;11,26;1059,47;620,50;53,91;55,13;11,03;50,98;2001,89
841,30;11,26;1060,00;612,63;54,64;55,03;11,01;50,38;2027,57
836,24;11,26;1060,00;613,38;54,86;55,02;11,00;49,88;2012,58
838,12;11,26;1060,53;625,37;53,45;55,08;11,02;49,49;1990,45
836,57;11,11;1060,00;616,13;54,47;55,19;11,04;49,22;2028,60
843,59;10,97;1060,00;614,38;53,54;55,36;11,07;48,99;2029,35
839,34;11,13;1059,60;616,75;54,42;55,57;11,11;48,87;2025,36
837,63;11,19;1060,00;620,00;55,11;55,80;11,16;48,79;2022,21
841,22;11,14;1060,53;623,38;55,34;56,06;11,21;48,74;2100,16
841,22;11,34;1059,87;622,38;55,46;56,34;11,27;48,72;2067,89
838,85;11,44;1059,74;628,88;56,44;56,62;11,32;48,71;2110,81
838,77;11,25;1060,13;616,87;56,64;56,90;11,38;48,72;2053,45
838,28;11,31;1060,13;625,25;55,41;57,20;11,44;48,77;2068,92
838,45;11,28;1059,74;619,62;55,79;57,47;11,49;48,83;2051,95
846,85;11,27;1060,13;625,13;54,77;57,71;11,54;48,90;2036,33
840,08;11,27;1060,13;624,38;54,86;57,98;11,60;49,01;2048,09
846,36;11,26;1059,47;618,38;53,03;58,23;11,65;49,14;2035,11
838,28;11,26;1059,74;618,00;53,32;58,46;11,69;49,29;2024,89
838,77;11,26;1060,40;626,63;55,16;58,68;11,74;49,48;2075,11
848,73;11,26;1060,40;625,37;54,95;58,84;11,77;49,71;2085,33
838,77;11,26;1059,87;620,75;55,11;58,92;11,78;49,98;2078,42
838,45;11,26;1060,00;620,50;54,16;58,94;11,79;50,26;2058,58
